Num Epoch;Time;Training error;Training accuracy;Validation error;Validation accuracy
1;378.1129152774811;0.863153475467;0.136846524533;0.8162;0.1838
2;343.73733949661255;0.741658148364;0.258341851636;0.8162;0.1838
3;346.97647881507874;0.661616530374;0.338383469626;0.6246;0.3754
4;343.74562311172485;0.606399678738;0.393600321262;0.6246;0.3754
5;344.1884255409241;0.591285776869;0.408714223131;0.5966;0.4034
6;341.512179851532;0.585827978972;0.414172021028;0.5966;0.4034
7;345.38821506500244;0.581629672897;0.418370327103;0.5876;0.4124
8;339.95636510849;0.584440712617;0.415559287383;0.5876;0.4124
9;342.17295813560486;0.576682973131;0.423317026869;0.5752;0.4248
10;339.68469285964966;0.570768837617;0.429231162383;0.5752;0.4248
11;340.8732998371124;0.565292786215;0.434707213785;0.5768;0.4232
12;339.9816942214966;0.55722473715;0.44277526285;0.5768;0.4232
13;343.5960805416107;0.548736857477;0.451263142523;0.5458;0.4542
14;338.4558370113373;0.548536068925;0.451463931075;0.5458;0.4542
15;341.3714861869812;0.540997371495;0.459002628505;0.5378;0.4622
16;337.5710644721985;0.537127628505;0.462872371495;0.5378;0.4622
17;339.4139657020569;0.535722108645;0.464277891355;0.5276;0.4724
18;337.3492546081543;0.532838054907;0.467161945093;0.5276;0.4724
19;339.294171333313;0.528256425234;0.471743574766;0.5224;0.4776
20;337.94113755226135;0.527142961449;0.472857038551;0.5224;0.4776
21;341.4008536338806;0.523181950935;0.476818049065;0.5046;0.4954
22;337.6809432506561;0.515424211449;0.484575788551;0.5046;0.4954
23;340.80328464508057;0.495801693925;0.504198306075;0.4614;0.5386
24;338.45100498199463;0.502135660047;0.497864339953;0.4614;0.5386
25;341.2661397457123;0.459824036215;0.540175963785;0.4582;0.5418
26;338.23384523391724;0.463511244159;0.536488755841;0.4582;0.5418
27;340.6576511859894;0.495692172897;0.504307827103;0.4622;0.5378
28;337.40595531463623;0.490033586449;0.509966413551;0.4622;0.5378
29;340.9145710468292;0.470812646028;0.529187353972;0.4988;0.5012
30;336.5929870605469;0.474828417056;0.525171582944;0.4988;0.5012
31;339.41025280952454;0.441734813084;0.558265186916;0.4406;0.5594
32;337.106565952301;0.445221232477;0.554778767523;0.4406;0.5594
33;340.1915888786316;0.415960864486;0.584039135514;0.4006;0.5994
