Num Epoch;Time;Training loss;Validation loss
1;219.75141716003418;0.33655572931;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
2;176.37105011940002;0.27363536717;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
3;176.60118699073792;0.222326982862;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
4;175.69584107398987;0.213528180352;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
5;175.97761297225952;0.20971406576;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
6;175.90628504753113;0.207788677552;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
7;175.80615711212158;0.206318002099;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
8;176.68656396865845;0.204713531412;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
9;176.3515589237213;0.203036327393;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
10;176.9328019618988;0.200403146255;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
11;219.62618398666382;0.185318950277;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
12;175.6669430732727;0.160751671745;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
13;175.3973000049591;0.154052482584;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
14;175.33065795898438;0.151841729497;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
15;175.77553606033325;0.149507432412;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
16;176.79013299942017;0.144617776076;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
17;175.50865507125854;0.137526732989;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
18;176.24653100967407;0.131287875084;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
19;175.44075417518616;0.126089526293;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
20;175.3350601196289;0.1218048294;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
21;221.4232919216156;0.118560458414;"Tensor(""gru1l128u/Mean_1:0"", shape=(), dtype=float32)"
